sample,gene_family,transcript_name,transcript_length,nr_reads,min_read_len,median_read_len,max_read_len
Human 1,DAZ,longer_from_REPLICATE1_transcript_216_support_3,2451,21,191,2384,2414
Human 1,DAZ,longer_from_REPLICATE1_transcript_159_support_2,2158,5,2070,2071,2074
Human 1,DAZ,longer_from_REPLICATE1_transcript_128_support_3,2424,25,2404,2424,2490
Human 1,DAZ,longer_from_REPLICATE2_transcript_52_support_3,2377,49,550,2328,2375
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7,4010,12,377,2222,3950
Human 1,DAZ,longer_from_REPLICATE1_transcript_157_support_3,2739,12,2674,2686,2706
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12,3936,117,3821,3938,4015
Human 1,DAZ,REPLICATE1_transcript_0_support_8REPLICATE2_transcript_0_support_7,85,40,84,85.5,713
Human 1,DAZ,REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48,2992,403,2829,2994,3063
Human 1,HSFY,longer_from_REPLICATE1_transcript_11_support_14,1063,67,54,1000,1486
Human 1,HSFY,REPLICATE1_transcript_104_support_10REPLICATE2_transcript_90_support_4,1393,78,1377,1393,1410
Human 1,HSFY,REPLICATE1_transcript_168_support_218REPLICATE2_transcript_145_support_223,1394,2901,1270,1395,1444
Human 1,HSFY,longer_from_REPLICATE2_transcript_42_support_6,1194,610,997,1160,2572
Human 1,HSFY,longer_from_REPLICATE2_transcript_11_support_6,881,11,871,875,885
Human 1,HSFY,longer_from_REPLICATE2_transcript_21_support_12,316,105,100,315,396
Human 1,HSFY,REPLICATE1_transcript_135_support_13REPLICATE2_transcript_117_support_5,1333,64,553,1335,1368
Human 1,HSFY,REPLICATE1_transcript_81_support_5REPLICATE2_transcript_68_support_10,1642,25,1638,1642,1651
Human 1,HSFY,longer_from_REPLICATE1_transcript_35_support_2,865,17,838,860,868
Human 1,HSFY,longer_from_REPLICATE1_transcript_12_support_4,705,5,631,664,748
Human 1,HSFY,longer_from_REPLICATE1_transcript_130_support_5,484,12,377,2222,3950
Human 1,HSFY,REPLICATE1_transcript_64_support_10REPLICATE2_transcript_52_support_16,1372,160,1350,1374,1416
Human 1,HSFY,longer_from_REPLICATE2_transcript_352_support_4,488,6,388,389,474
Human 1,HSFY,longer_from_REPLICATE1_transcript_43_support_13,762,136,722,1205,1255
Human 1,HSFY,REPLICATE1_transcript_6_support_4REPLICATE2_transcript_2_support_5,421,66,216,413.5,907
Human 1,HSFY,longer_from_REPLICATE1_transcript_25_support_3,400,13,324,364,2133
Human 1,HSFY,longer_from_REPLICATE2_transcript_442_support_5,1349,232,1251,1297,1385
Human 1,HSFY,REPLICATE1_transcript_82_support_2REPLICATE2_transcript_69_support_2,1643,20,1617,1643,1686
Human 1,HSFY,REPLICATE1_transcript_78_support_10REPLICATE2_transcript_66_support_8,537,55,377,537,3950
Human 1,HSFY,longer_from_REPLICATE1_transcript_33_support_9,524,49,367,481,544
Human 1,HSFY,REPLICATE1_transcript_115_support_2REPLICATE2_transcript_97_support_4,1297,41,1289,1303,1455
Human 1,HSFY,longer_from_REPLICATE1_transcript_75_support_3,648,10,615,646.5,652
Human 1,HSFY,REPLICATE1_transcript_430_support_5REPLICATE2_transcript_433_support_5,1447,562,1339,1439.5,1607
Human 1,HSFY,REPLICATE1_transcript_128_support_4REPLICATE2_transcript_110_support_5,1393,33,1360,1392,1404
Human 1,HSFY,longer_from_REPLICATE1_transcript_11_support_8,864,26,283,857,1585
Human 1,HSFY,REPLICATE1_transcript_96_support_4REPLICATE2_transcript_85_support_3,1396,143,130,1397,3288
Human 1,HSFY,longer_from_REPLICATE2_transcript_489_support_8,1296,388,100,1207,1304
Human 1,PRY,REPLICATE1_transcript_2_support_20REPLICATE2_transcript_1_support_34,534,121,523,534,580
Human 1,PRY,REPLICATE1_transcript_21_support_27REPLICATE2_transcript_10_support_21,101,101,50,101,121
Human 1,PRY,REPLICATE1_transcript_2_support_5REPLICATE2_transcript_2_support_7,582,91,155,580,1239
Human 1,PRY,REPLICATE1_transcript_3_support_16REPLICATE2_transcript_1_support_16,392,100,101,392,450
Human 1,PRY,REPLICATE1_transcript_1_support_10REPLICATE2_transcript_1_support_9,344,46,84,342,346
Human 1,PRY,REPLICATE1_transcript_9_support_121REPLICATE2_transcript_4_support_130,100,462,50,100,117
Human 1,PRY,REPLICATE1_transcript_33_support_361REPLICATE2_transcript_19_support_364,100,1213,50,100,106
Human 1,PRY,REPLICATE1_transcript_3_support_5REPLICATE2_transcript_2_support_8,928,51,506,939,2304
Human 1,PRY,REPLICATE1_transcript_36_support_8REPLICATE2_transcript_22_support_5,101,21,101,101,102
Human 1,PRY,REPLICATE1_transcript_16_support_71REPLICATE2_transcript_7_support_59,101,216,98,101,136
Human 1,PRY,REPLICATE1_transcript_42_support_277REPLICATE2_transcript_47_support_255,679,1668,618,679,695
Human 1,PRY,REPLICATE1_transcript_9_support_8REPLICATE2_transcript_4_support_9,784,78,121,143,805
Human 1,PRY,REPLICATE1_transcript_6_support_58REPLICATE2_transcript_11_support_44,398,390,290,399,3362
Human 1,PRY,REPLICATE1_transcript_37_support_2REPLICATE2_transcript_23_support_6,101,17,101,101,680
Human 1,PRY,REPLICATE1_transcript_7_support_11REPLICATE2_transcript_1_support_16,102,87,101,370,396
Human 1,PRY,REPLICATE1_transcript_39_support_70REPLICATE2_transcript_24_support_68,100,222,97,100,111
Human 1,PRY,REPLICATE1_transcript_33_support_3REPLICATE2_transcript_38_support_5,192,32,84,192,2275
Human 1,PRY,longer_from_REPLICATE1_transcript_3_support_5,1669,11,241,1663,1670
Human 1,PRY,REPLICATE1_transcript_24_support_2REPLICATE2_transcript_11_support_3,102,90,102,682,1535
Human 1,PRY,longer_from_REPLICATE2_transcript_2_support_5,225,13,200,220,229
Human 1,PRY,longer_from_REPLICATE1_transcript_19_support_3,254,24,101,834.5,2172
Human 1,PRY,longer_from_REPLICATE2_transcript_1_support_4,933,43,297,460,1967
Human 1,PRY,REPLICATE1_transcript_2_support_11REPLICATE2_transcript_0_support_7,709,48,85,709,714
Human 1,PRY,REPLICATE1_transcript_29_support_2REPLICATE2_transcript_14_support_2,100,13,100,102,1490
Human 1,PRY,longer_from_REPLICATE2_transcript_3_support_7,784,35,193,1588,1611
Human 1,PRY,longer_from_REPLICATE2_transcript_13_support_2,320,13,283,288,758
Human 1,PRY,longer_from_REPLICATE2_transcript_39_support_3,73,11,50,71,82
Human 1,PRY,longer_from_REPLICATE2_transcript_37_support_5,684,14,676,697,871
Human 1,PRY,REPLICATE1_transcript_4_support_6REPLICATE2_transcript_2_support_7,163,67,142,316,586
Human 1,PRY,longer_from_REPLICATE2_transcript_8_support_6,628,13,594,628,641
Human 1,PRY,REPLICATE1_transcript_4_support_3REPLICATE2_transcript_7_support_4,364,50,362,478,1066
Human 1,PRY,REPLICATE1_transcript_13_support_11REPLICATE2_transcript_5_support_3,101,56,100,706,2172
Human 1,PRY,REPLICATE1_transcript_12_support_4REPLICATE2_transcript_7_support_7,699,74,635,672.5,714
Human 1,PRY,longer_from_REPLICATE1_transcript_17_support_3,590,4,485,500.5,524
Human 1,PRY,longer_from_REPLICATE2_transcript_1_support_2,1131,17,486,848,1213
Human 1,PRY,longer_from_REPLICATE2_transcript_2_support_3,338,13,281,311,325
Human 1,PRY,longer_from_REPLICATE2_transcript_8_support_5,737,53,350,536,1069
Human 1,PRY,longer_from_REPLICATE2_transcript_103_support_3,233,5,130,154,156
Human 1,PRY,REPLICATE1_transcript_2_support_24REPLICATE2_transcript_4_support_25,712,147,680,712,754
Human 1,PRY,REPLICATE1_transcript_2_support_14REPLICATE2_transcript_2_support_12,142,42,115,142,149
Human 1,RBMY,longer_from_REPLICATE2_transcript_239_support_5,1785,7,1742,1749,1758
Human 1,RBMY,REPLICATE1_transcript_115_support_4REPLICATE2_transcript_154_support_2,1859,12,1854,1861,1879
Human 1,RBMY,longer_from_REPLICATE1_transcript_36_support_10,1884,7,1853,1861,1867
Human 1,RBMY,longer_from_REPLICATE2_transcript_210_support_4,508,13,100,482,649
Human 1,RBMY,longer_from_REPLICATE1_transcript_149_support_7,379,35,344,351,362
Human 1,RBMY,REPLICATE1_transcript_147_support_2REPLICATE2_transcript_188_support_7,378,37,372,379,386
Human 1,RBMY,longer_from_REPLICATE1_transcript_160_support_7,608,139,305,487,2881
Human 1,RBMY,longer_from_REPLICATE1_transcript_212_support_8,546,14,492,494,496
Human 1,RBMY,longer_from_REPLICATE2_transcript_21_support_3,747,11,658,844,2749
Human 1,RBMY,longer_from_REPLICATE1_transcript_166_support_3,719,64,489,613,1134
Human 1,RBMY,longer_from_REPLICATE1_transcript_227_support_5,692,10,667,1035,1397
Human 1,RBMY,longer_from_REPLICATE1_transcript_40_support_3,1773,13,1747,1753,1765
Human 1,RBMY,longer_from_REPLICATE1_transcript_13_support_3,384,21,332,775,1083
Human 1,RBMY,REPLICATE1_transcript_57_support_10REPLICATE2_transcript_15_support_10,147,41,100,147,167
Human 1,RBMY,longer_from_REPLICATE2_transcript_8_support_4,1022,5,983,1013,1022
Human 1,RBMY,longer_from_REPLICATE2_transcript_299_support_9,563,20,513,534.5,568
Human 1,RBMY,longer_from_REPLICATE1_transcript_106_support_5,520,148,300,335.5,932
Human 1,RBMY,longer_from_REPLICATE2_transcript_4_support_2,524,29,430,469,1660
Human 1,RBMY,longer_from_REPLICATE1_transcript_279_support_15,381,58,344,358,386
Human 1,RBMY,longer_from_REPLICATE1_transcript_65_support_2,399,87,305,384,2881
Human 1,RBMY,REPLICATE1_transcript_58_support_8REPLICATE2_transcript_18_support_3,147,48,117,377.5,2232
Human 1,RBMY,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,1773,38,1737,1773,1937
Human 1,RBMY,longer_from_REPLICATE2_transcript_139_support_2,549,91,378,463,538
Human 1,RBMY,longer_from_REPLICATE2_transcript_8_support_2,338,39,282,313,322
Human 1,RBMY,longer_from_REPLICATE1_transcript_214_support_5,545,300,54,287,1486
Human 1,RBMY,longer_from_REPLICATE2_transcript_135_support_4,441,65,100,378,649
Human 1,RBMY,longer_from_REPLICATE1_transcript_14_support_5,495,6,400,413,455
Human 1,TSPY,REPLICATE1_transcript_389_support_4REPLICATE2_transcript_46_support_13,256,49,232,257,271
Human 1,TSPY,longer_from_REPLICATE2_transcript_108_support_4,1132,15,1110,1126,1145
Human 1,TSPY,longer_from_REPLICATE2_transcript_112_support_14,1114,44,1089,1099,1170
Human 1,TSPY,longer_from_REPLICATE2_transcript_17_support_4,1062,4,977,980.5,984
Human 1,TSPY,longer_from_REPLICATE1_transcript_48_support_4,1099,6,1082,1096,1103
Human 1,TSPY,longer_from_REPLICATE2_transcript_33_support_3,579,102,409,430,541
Human 1,TSPY,REPLICATE1_transcript_336_support_2REPLICATE2_transcript_408_support_6,257,27,239,257,267
Human 1,TSPY,longer_from_REPLICATE1_transcript_318_support_2,258,7,238,255,265
Human 1,TSPY,longer_from_REPLICATE1_transcript_215_support_9,1148,105,1030,1096,1192
Human 1,TSPY,REPLICATE1_transcript_26_support_6REPLICATE2_transcript_84_support_8,299,65,174,241,313
Human 1,TSPY,longer_from_REPLICATE1_transcript_15_support_6,429,39,385,397,413
Human 1,TSPY,longer_from_REPLICATE1_transcript_310_support_2,283,35,236,256,266
Human 1,TSPY,longer_from_REPLICATE2_transcript_172_support_3,1030,13,795,1027,1067
Human 1,TSPY,longer_from_REPLICATE2_transcript_62_support_5,297,228,236,284,313
Human 1,TSPY,REPLICATE1_transcript_20_support_3REPLICATE2_transcript_11_support_7,368,79,341,375,2681
Human 1,TSPY,longer_from_REPLICATE2_transcript_176_support_3,1126,5,1096,1105,1113
Human 1,TSPY,longer_from_REPLICATE1_transcript_204_support_2,701,208,484,639,2799
Human 1,TSPY,longer_from_REPLICATE1_transcript_205_support_2,701,115,595,2337,2799
Human 1,TSPY,longer_from_REPLICATE1_transcript_72_support_2,1111,91,1030,1095,1192
Human 1,TSPY,REPLICATE1_transcript_28_support_2REPLICATE2_transcript_15_support_4,368,10,368,368.5,370
Human 1,TSPY,longer_from_REPLICATE2_transcript_224_support_7,439,7,385,404,413
Human 1,TSPY,longer_from_REPLICATE1_transcript_50_support_5,314,477,81,256,323
Human 1,TSPY,longer_from_REPLICATE2_transcript_29_support_2,376,211,238,318,442
Human 1,TSPY,REPLICATE1_transcript_396_support_2REPLICATE2_transcript_81_support_2,115,22,115,122,556
Human 1,TSPY,longer_from_REPLICATE2_transcript_207_support_3,346,590,227,257,1967
Human 1,TSPY,longer_from_REPLICATE1_transcript_240_support_3,829,12,726,748.5,757
Human 1,TSPY,longer_from_REPLICATE2_transcript_206_support_3,867,7,834,840,874
Human 1,TSPY,longer_from_REPLICATE1_transcript_8_support_3,1623,8,1530,1883.5,2240
Human 1,TSPY,REPLICATE1_transcript_24_support_19REPLICATE2_transcript_12_support_26,368,104,341,368,393
Human 1,TSPY,longer_from_REPLICATE2_transcript_269_support_10,784,21,771,785,805
Human 1,TSPY,REPLICATE1_transcript_380_support_11REPLICATE2_transcript_436_support_6,256,37,236,256,270
Human 1,TSPY,REPLICATE1_transcript_329_support_8REPLICATE2_transcript_405_support_13,257,56,226,257,270
Human 1,TSPY,longer_from_REPLICATE1_transcript_28_support_3,1467,8,100,1394,1484
Human 1,TSPY,longer_from_REPLICATE1_transcript_22_support_6,430,10,375,916.5,1489
Human 1,TSPY,REPLICATE1_transcript_319_support_4REPLICATE2_transcript_68_support_3,256,112,159,254,1254
Human 1,TSPY,REPLICATE1_transcript_29_support_5REPLICATE2_transcript_16_support_4,369,675,264,285,376
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_162_support_3,599,5,569,576,578
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_140_support_7,780,6,779,781,784
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_339_support_2,487,3,466,477,479
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_558_support_7,603,73,567,572,602
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_468_support_3,786,10,677,701.5,755
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_318_support_3,455,5,414,425,463
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_15_support_5,349,55,130,1001,3288
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_470_support_3,867,16,799,804,829
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_296_support_3,864,123,738,778,870
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_390_support_3,709,7,677,700,711
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_105_support_3,781,8,710,1550.5,2384
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_267_support_3,570,40,458,556,582
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_26_support_2,463,51,399,634,1069
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_29_support_2,212,13,174,946,969
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_158_support_4,995,92,851,896.5,908
Human 1,VCY_cb,REPLICATE1_transcript_337_support_2REPLICATE2_transcript_417_support_3,414,76,155,388,586
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_252_support_4,557,7,462,475,498
Human 1,VCY_cb,longer_from_REPLICATE2_transcript_146_support_37,720,47,687,714,777
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_257_support_3,547,6,471,1242,1989
Human 1,VCY_cb,REPLICATE1_transcript_357_support_5REPLICATE2_transcript_453_support_3,630,49,519,536,655
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_197_support_2,570,77,509,540,579
Human 1,VCY_cb,longer_from_REPLICATE1_transcript_137_support_3,809,9,796,805,819
Human 1,VCY_cb,REPLICATE1_transcript_453_support_5REPLICATE2_transcript_575_support_7,433,83,196,384,459
Human 1,VCY_h,longer_from_REPLICATE1_transcript_64_support_5,539,125,502,509,548
Human 1,VCY_h,longer_from_REPLICATE1_transcript_86_support_7,538,10,508,510.5,519
Human 1,VCY_h,REPLICATE1_transcript_71_support_83REPLICATE2_transcript_92_support_97,539,1079,507,539,611
Human 1,VCY_h,longer_from_REPLICATE2_transcript_79_support_3,539,281,147,487,1967
Human 1,XKRY,longer_from_REPLICATE1_transcript_268_support_7,1598,70,1588,1598,1694
Human 1,XKRY,longer_from_REPLICATE2_transcript_194_support_6,1130,301,174,786,1636
Human 1,XKRY,REPLICATE1_transcript_281_support_5REPLICATE2_transcript_289_support_5,1600,88,358,1600,1636
Human 1,XKRY,longer_from_REPLICATE2_transcript_89_support_3,1353,20,1260,1352,1358
Human 1,XKRY,REPLICATE1_transcript_247_support_31REPLICATE2_transcript_252_support_16,1598,313,1565,1600,3004
Human 1,XKRY,longer_from_REPLICATE2_transcript_227_support_4,1343,8,1234,1343.5,1373
Human 1,XKRY,longer_from_REPLICATE1_transcript_261_support_49,1597,406,1547,1596,1640
Human 1,XKRY,longer_from_REPLICATE1_transcript_234_support_5,1483,10,1474,1487,2632
Human 1,XKRY,longer_from_REPLICATE2_transcript_300_support_13,1576,15,1565,1571,1600
Human 1,XKRY,REPLICATE1_transcript_239_support_49REPLICATE2_transcript_240_support_50,1597,410,638,1598,1644
Human 1,XKRY,REPLICATE1_transcript_280_support_3REPLICATE2_transcript_288_support_8,1600,77,1593,1600,1633
Human 1,XKRY,longer_from_REPLICATE1_transcript_167_support_3,1335,17,204,234,1356
Human 1,XKRY,longer_from_REPLICATE2_transcript_125_support_3,1102,7,1077,1096,1154
Human 1,XKRY,longer_from_REPLICATE2_transcript_249_support_2,1598,14,1592,1602.5,1609
Human 1,XKRY,longer_from_REPLICATE1_transcript_249_support_8,1361,34,1352,1362,1387
Human 1,XKRY,longer_from_REPLICATE1_transcript_251_support_4,1403,2,1401,1402,1403
Human 1,XKRY,longer_from_REPLICATE1_transcript_253_support_6,1509,12,1507,1518,1531
Human 2,BPY2,longer_from_REPLICATE2_transcript_52_support_5,725,7,720,725,739
Human 2,BPY2,longer_from_REPLICATE1_transcript_8_support_2,568,67,550,552,559
Human 2,BPY2,longer_from_REPLICATE1_transcript_25_support_4,775,8,767,769,770
Human 2,BPY2,REPLICATE1_transcript_35_support_3REPLICATE2_transcript_33_support_9,772,78,99,772,3513
Human 2,BPY2,longer_from_REPLICATE1_transcript_0_support_3,340,19,311,313,315
Human 2,BPY2,longer_from_REPLICATE2_transcript_27_support_4,502,60,98,1090,3631
Human 2,BPY2,longer_from_REPLICATE2_transcript_136_support_3,1361,8,1330,2459.5,2495
Human 2,BPY2,longer_from_REPLICATE2_transcript_11_support_2,210,109,51,173,3147
Human 2,BPY2,longer_from_REPLICATE1_transcript_63_support_2,914,7,860,860,884
Human 2,BPY2,longer_from_REPLICATE2_transcript_48_support_3,1255,19,1225,1232,1338
Human 2,BPY2,longer_from_REPLICATE1_transcript_32_support_4,1017,15,242,254,996
Human 2,CDY,longer_from_REPLICATE1_transcript_72_support_11,1924,26,158,1918.5,3811
Human 2,CDY,longer_from_REPLICATE2_transcript_57_support_7,2196,30,614,1868.5,2214
Human 2,CDY,longer_from_REPLICATE1_transcript_23_support_3,2081,87,107,567,2340
Human 2,CDY,longer_from_REPLICATE2_transcript_28_support_3,1943,50,101,1920.5,1949
Human 2,CDY,longer_from_REPLICATE2_transcript_41_support_5,1503,117,53,1435,2037
Human 2,CDY,REPLICATE1_transcript_74_support_7REPLICATE2_transcript_61_support_6,2204,40,192,2197,2248
Human 2,CDY,longer_from_REPLICATE2_transcript_3_support_6,1662,105,50,264,2207
Human 2,CDY,longer_from_REPLICATE1_transcript_65_support_6,1933,11,1926,1930,1936
Human 2,DAZ,longer_from_REPLICATE1_transcript_63_support_5,1741,5,1689,1701,1711
Human 2,DAZ,longer_from_REPLICATE1_transcript_94_support_4,1681,13,1643,1646,1657
Human 2,DAZ,longer_from_REPLICATE2_transcript_221_support_3,2208,4,2180,2192,2205
Human 2,DAZ,longer_from_REPLICATE1_transcript_537_support_3,2840,3,2816,2816,2837
Human 2,DAZ,longer_from_REPLICATE1_transcript_325_support_2,1644,11,1626,1638,1659
Human 2,DAZ,longer_from_REPLICATE1_transcript_216_support_6,817,14,762,762,861
Human 2,DAZ,longer_from_REPLICATE2_transcript_228_support_6,2086,5,2047,2048,2050
Human 2,DAZ,longer_from_REPLICATE1_transcript_98_support_3,2335,37,2323,2333,2359
Human 2,DAZ,longer_from_REPLICATE1_transcript_33_support_4,1835,108,192,487,2322
Human 2,DAZ,longer_from_REPLICATE2_transcript_119_support_4,1771,44,1634,1687,3592
Human 2,DAZ,REPLICATE1_transcript_27_support_6REPLICATE2_transcript_15_support_11,566,90,490,564,578
Human 2,DAZ,longer_from_REPLICATE1_transcript_317_support_11,687,16,278,288.5,674
Human 2,DAZ,longer_from_REPLICATE2_transcript_208_support_3,2286,12,2209,2217.5,2238
Human 2,DAZ,longer_from_REPLICATE2_transcript_291_support_8,2017,13,332,1927,1991
Human 2,DAZ,longer_from_REPLICATE1_transcript_6_support_3,103,134,50,258.5,2393
Human 2,DAZ,longer_from_REPLICATE2_transcript_287_support_2,1982,22,100,1899,1920
Human 2,DAZ,longer_from_REPLICATE2_transcript_161_support_7,2213,17,288,1887,2434
Human 2,DAZ,longer_from_REPLICATE2_transcript_93_support_3,3554,4,3550,3555,3586
Human 2,DAZ,longer_from_REPLICATE1_transcript_4_support_29,1569,11,1466,1467,1467
Human 2,DAZ,longer_from_REPLICATE2_transcript_3_support_2,764,8,751,1124,1498
Human 2,DAZ,longer_from_REPLICATE2_transcript_139_support_2,2563,19,75,554,2482
Human 2,DAZ,longer_from_REPLICATE1_transcript_2_support_2,104,124,50,186,1617
Human 2,DAZ,REPLICATE1_transcript_240_support_16REPLICATE2_transcript_128_support_7,2992,79,2986,2993,3028
Human 2,DAZ,longer_from_REPLICATE2_transcript_16_support_3,254,316,50,259.5,3043
Human 2,DAZ,longer_from_REPLICATE1_transcript_68_support_7,2303,3,2289,2292,2292
Human 2,DAZ,longer_from_REPLICATE2_transcript_33_support_5,1623,6,1611,1674,1726
Human 2,DAZ,longer_from_REPLICATE2_transcript_114_support_5,2400,17,1904,2349,2361
Human 2,DAZ,longer_from_REPLICATE2_transcript_1_support_6,72,59,53,208,2226
Human 2,DAZ,longer_from_REPLICATE1_transcript_351_support_3,2081,19,525,1694,2070
Human 2,DAZ,longer_from_REPLICATE1_transcript_325_support_4,2253,8,2234,2250,2266
Human 2,DAZ,longer_from_REPLICATE1_transcript_125_support_3,2014,3,1974,1974,1975
Human 2,DAZ,longer_from_REPLICATE1_transcript_49_support_3,2182,4,2128,2132.5,2134
Human 2,DAZ,longer_from_REPLICATE2_transcript_240_support_8,2064,22,332,1972,2059
Human 2,DAZ,longer_from_REPLICATE1_transcript_459_support_6,1634,8,1623,1631,1638
Human 2,DAZ,longer_from_REPLICATE2_transcript_19_support_4,1171,2,1124,1141.5,1159
Human 2,DAZ,REPLICATE1_transcript_44_support_3REPLICATE2_transcript_34_support_3,2552,40,366,2057,3282
Human 2,DAZ,REPLICATE1_transcript_4_support_5REPLICATE2_transcript_3_support_6,277,185,50,211,2105
Human 2,DAZ,longer_from_REPLICATE2_transcript_19_support_6,2147,107,52,326,3703
Human 2,DAZ,longer_from_REPLICATE1_transcript_171_support_3,231,5,199,287,339
Human 2,DAZ,longer_from_REPLICATE1_transcript_248_support_4,2600,22,89,131.5,2542
Human 2,DAZ,longer_from_REPLICATE2_transcript_164_support_3,2230,8,2209,2212,2215
Human 2,DAZ,longer_from_REPLICATE1_transcript_64_support_3,2305,13,237,2274,2300
Human 2,DAZ,longer_from_REPLICATE2_transcript_193_support_2,1945,32,69,1867,3327
Human 2,DAZ,longer_from_REPLICATE1_transcript_41_support_4,1663,28,342,1646,2149
Human 2,DAZ,REPLICATE1_transcript_346_support_3REPLICATE2_transcript_192_support_4,535,19,521,540,562
Human 2,DAZ,longer_from_REPLICATE2_transcript_285_support_6,1846,24,1754,1778,1822
Human 2,DAZ,longer_from_REPLICATE1_transcript_544_support_3,2169,3,2121,2123,2129
Human 2,DAZ,longer_from_REPLICATE2_transcript_41_support_3,1779,28,366,2057,3282
Human 2,DAZ,longer_from_REPLICATE2_transcript_36_support_5,2343,18,295,2311,2359
Human 2,DAZ,longer_from_REPLICATE1_transcript_76_support_3,1272,50,137,1253,1330
Human 2,DAZ,longer_from_REPLICATE2_transcript_50_support_3,2089,16,2006,2073.5,2106
Human 2,DAZ,longer_from_REPLICATE1_transcript_558_support_4,1787,15,654,1743,1777
Human 2,DAZ,REPLICATE1_transcript_316_support_6REPLICATE2_transcript_163_support_6,2542,82,54,1921,2577
Human 2,DAZ,longer_from_REPLICATE2_transcript_75_support_4,1785,10,258,1764.5,1769
Human 2,DAZ,longer_from_REPLICATE1_transcript_8_support_8,89,28,54,107.5,2639
Human 2,DAZ,longer_from_REPLICATE1_transcript_133_support_3,1777,3,1743,1744,1750
Human 2,DAZ,longer_from_REPLICATE2_transcript_211_support_2,2109,6,2078,2084,2090
Human 2,DAZ,longer_from_REPLICATE1_transcript_287_support_6,2209,4,2190,2190.5,2191
Human 2,DAZ,REPLICATE1_transcript_45_support_11REPLICATE2_transcript_107_support_7,2449,30,2417,2451,2464
Human 2,DAZ,longer_from_REPLICATE1_transcript_527_support_4,2097,7,2041,2050,2071
